num_layer,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
1,Ningbo(10kTEU),"[ 874.04288607 1032.2289661  1166.91543779 1161.82909234 1414.82474729
 1567.2376724  1725.65212423 1865.59361461 2086.78169358 2311.45784691
 2451.86352018]","[ 934.9999981  1084.6000206  1042.00000843 1300.39998369 1451.19998008
 1567.10000852 1677.39993784 1870.00003746 2062.99994424 2160.00002486
 2461.00001228]",4.377791014734706,78.9266856547677,[2816.51504585 3040.29789388 3233.3508333 ],[2634.99994579 2748.99993271 2872.        ],10.022326311682423,287.7363715044975
1,Shanghai(10kTEU),"[2528.47316945 2644.80898764 2736.39445699 2784.82459604 3077.6965638
 3155.43861479 3453.39638293 3648.09415815 3803.84326866 3940.95413496
 4039.54093684]","[2615.00001215 2797.99997204 2500.19998405 2906.89993685 3173.90001409
 3252.899993   3361.69997575 3528.50008061 3653.99991498 3713.00003027
 4022.99998683]",4.111454129071884,140.7121808293574,[4294.42187656 4447.30333927 4607.58761554],[4200.99998081 4329.99996384 4350.        ],3.6181468901599394,172.08439031506387
1,Singapore(10kTEU),"[2827.22914752 2865.49037506 2934.51045709 2894.78706734 3064.98245482
 3085.55195956 3332.28735014 3341.12238001 3333.86307788 3339.5833565
 3341.58818318]","[2793.59998438 2991.79999009 2586.69998821 2843.09999049 2993.79999225
 3164.89997818 3257.89998392 3386.90002849 3091.99998468 3089.99998252
 3366.99999756]",4.169410785827797,159.87387550788716,[3337.15803934 3328.59138551 3320.1004105 ],[3660.00002987 3720.         3660.00002987],9.543143686794417,352.590132965109
1,Shenzhen(10kTEU),"[2327.59125578 2265.13607869 1874.18875308 2376.4072375  2464.48315057
 2348.38594538 2575.11819643 2584.78699586 2609.00327972 2626.42615926
 2641.96832052]","[2109.90000257 2141.39997709 1825.00001942 2250.89997646 2257.00001177
 2294.00000849 2327.7999633  2403.69998425 2419.99999052 2397.00001979
 2520.99998611]",6.933526362742017,171.57811383414727,[2653.47779259 2685.36588249 2689.77367431],[2774.         2577.00000611 2655.00003096],3.2865224760893774,95.70435711625618
1,Hong Kong(10kTEU),"[2465.28644371 2467.4810637  2078.12181104 2430.25972683 2472.70297744
 2337.73595248 2197.05558342 2220.34290715 2008.5201196  2021.28344599
 2024.30429736]","[2399.80001549 2449.4        2104.00000765 2369.89999795 2438.39998602
 2311.70000049 2236.69999577 2222.59999429 2006.99999342 1981.00000064
 2075.99999555]",1.4773036691038322,38.91392241032957,[2021.84963757 2028.20398985 2036.98817381],[1960.0000008  1830.         2006.99999342],5.160197408351409,121.1190738104434
1,Busan(10kTEU),"[1388.34762779 1339.56981847 1348.6593225  1438.16716733 1659.3079409
 1784.92415141 1912.2852088  1988.63873215 2041.39661949 2074.57893295
 2099.41157373]","[1327.00000662 1345.19999227 1197.99999926 1419.40000476 1618.39999484
 1704.59999856 1768.59999348 1867.80002941 1944.99997714 1984.9999896
 2048.99998453]",4.791142692824751,90.49186723349416,[2123.89474455 2149.97490236 2162.05617585],[2166.00002413 2199.         2158.99998753],1.4383004480403008,37.35262174791661
1,Guangzhou(10kTEU),"[1033.3336764  1139.88771632 1227.19477019 1298.49518833 1415.97263306
 1567.12709141 1633.46984184 1710.2615416  1844.19970471 1917.85493779
 2111.99121338]","[1025.69998002 1100.09997991 1118.99997437 1255.00001121 1425.99998939
 1474.30000824 1530.90002811 1660.00002831 1721.99997872 1885.00002462
 2037.00004482]",4.2494287745281385,73.01268689763135,[2297.97692835 2505.49881172 2703.06140661],[2186.99996316 2323.         2319.00003386],9.830689915854085,253.72218476540098
1,Qingdao(10kTEU),"[ 892.8287054  1044.42477971 1119.63662612 1117.8462854  1325.84673488
 1460.79423833 1649.93041265 1766.35657477 1868.83846939 1935.94536984
 1974.15136445]","[ 946.19998783 1032.00002313 1026.00001258 1201.20000911 1301.99999541
 1450.3000108  1551.99996603 1658.00003517 1747.00003254 1800.99997675
 1829.99996912]",5.514060657457482,92.71820623561997,[1994.75070894 1993.36570847 2153.13699877],[1826.00002909 2101.00000179 2200.        ],5.498229337928379,118.68455941709628
1,Dubai(10kTEU),"[1132.16671583 1180.1471613  1203.29702287 1227.55792301 1342.31832281
 1375.29966441 1461.62654648 1633.43604106 1683.41997054 1681.69584002
 1674.02783887]","[1079.10000219 1182.69998323 1109.99999672 1160.0000033  1300.00001064
 1327.00000532 1364.10002307 1524.89997416 1560.00000051 1573.
 1536.99998861]",5.841968920923571,89.10162950836786,[1672.5424256  1672.01199213 1672.37666514],[1495.00000304 1410.99997646 1350.00001722],18.084623355594257,260.49650493849964
1,Tianjin(10kTEU),"[ 806.49598058  894.82218117  951.14246033 1016.53132068 1160.43157486
 1301.39604561 1385.92744575 1462.54559755 1541.14453038 1554.10931174
 1588.53626475]","[ 817.60000594  850.00000447  870.00000196 1008.00001497 1157.99997449
 1230.00000011 1300.99997604 1406.09996567 1410.99998389 1448.99996613
 1506.99998918]",5.022648644135586,73.19031408985086,[1622.26125982 1676.36963074 1746.23935301],[1600.00001866 1729.99998069 1835.        ],3.109480099314483,61.237868858361246
